statusId | label
29|Sit
30|Sit (phone)
31|Walk
32|Walk (phone)
statusId|sensorName|value|timestamp
29|AK09918C|[-0.35998535,-28.979996,-12.299988]|1689110350348
29|AK09918C|[-0.41999817,-29.64,-12.299988]|1689110350367
29|AK09918C|[-0.47999573,-30.0,-12.299988]|1689110350387
29|AK09918C|[-0.47999573,-30.179993,-12.119995]|1689110350408
29|AK09918C|[-0.41999817,-30.419998,-12.299988]|1689110350428
29|AK09918C|[-0.41999817,-30.0,-12.539993]|1689110350448
29|AK09918C|[-0.5399933,-30.0,-12.179993]|1689110350468
29|AK09918C|[-0.6599884,-29.64,-11.87999]|1689110350488
29|AK09918C|[-0.71998596,-29.519989,-11.519989]|1689110350508
29|AK09918C|[-0.11999512,-29.519989,-11.639999]|1689110350528
29|AK09918C|[0.05999756,-29.399994,-12.0]|1689110350548
29|AK09918C|[0.35998535,-29.039993,-12.359985]|1689110350568
29|AK09918C|[0.35998535,-29.279999,-13.139999]|1689110350588
29|AK09918C|[-0.11999512,-29.579987,-12.419998]|1689110350608
29|AK09918C|[-0.59999084,-29.339996,-12.539993]|1689110350628
29|AK09918C|[-0.6599884,-30.0,-12.719986]|1689110350648
29|AK09918C|[-0.83999634,-29.759995,-12.179993]|1689110350668
29|AK09918C|[-0.71998596,-29.64,-12.479996]|1689110350688
29|AK09918C|[0.0,-29.759995,-12.359985]|1689110350708
29|AK09918C|[-0.23999023,-29.279999,-12.059998]|1689110350727
29|AK09918C|[0.17999268,-29.519989,-12.479996]|1689110350747
29|AK09918C|[0.2999878,-29.459991,-12.479996]|1689110350768
29|AK09918C|[0.05999756,-29.039993,-12.359985]|1689110350788
29|AK09918C|[0.2999878,-29.519989,-12.359985]|1689110350808
29|AK09918C|[-0.11999512,-29.339996,-11.939987]|1689110350828
29|AK09918C|[-0.35998535,-29.519989,-12.119995]|1689110350848
29|AK09918C|[-0.11999512,-30.0,-12.119995]|1689110350868
29|AK09918C|[0.0,-30.23999,-12.0]|1689110350888
29|AK09918C|[0.41999817,-30.23999,-11.87999]|1689110350908
29|AK09918C|[0.59999084,-30.23999,-11.459991]|1689110350928
29|AK09918C|[0.41999817,-30.179993,-11.279999]|1689110350948
29|AK09918C|[0.5399933,-29.579987,-11.459991]|1689110350968
29|AK09918C|[0.11999512,-29.87999,-11.699997]|1689110350988
29|AK09918C|[-0.11999512,-29.819992,-12.059998]|1689110351008
29|AK09918C|[-0.41999817,-29.759995,-12.479996]|1689110351028
29|AK09918C|[-0.2999878,-29.939987,-12.179993]|1689110351048
29|AK09918C|[-0.05999756,-29.819992,-11.7599945]|1689110351067
29|AK09918C|[0.35998535,-30.119995,-11.699997]|1689110351087
29|AK09918C|[0.95999146,-30.659988,-11.519989]|1689110351108
29|AK09918C|[0.95999146,-30.719986,-11.819992]|1689110351128
29|AK09918C|[1.1399994,-30.59999,-12.119995]|1689110351148
29|AK09918C|[1.019989,-30.059998,-11.819992]|1689110351168
29|AK09918C|[0.59999084,-29.519989,-11.87999]|1689110351188
29|AK09918C|[0.47999573,-29.399994,-12.0]|1689110351208
29|AK09918C|[0.11999512,-29.459991,-12.0]|1689110351228
29|AK09918C|[0.35998535,-29.64,-12.539993]|1689110351248
29|AK09918C|[0.47999573,-29.219986,-12.419998]|1689110351268
29|AK09918C|[0.35998535,-28.919998,-12.479996]|1689110351288
29|AK09918C|[0.41999817,-28.859985,-12.719986]|1689110351308
29|AK09918C|[0.17999268,-29.039993,-12.179993]|1689110351328
29|AK09918C|[0.47999573,-29.579987,-12.359985]|1689110351348
29|AK09918C|[0.23999023,-30.059998,-12.479996]|1689110351368
29|AK09918C|[0.35998535,-30.299988,-12.419998]|1689110351388
29|AK09918C|[0.17999268,-30.299988,-12.479996]|1689110351408
29|AK09918C|[-0.47999573,-30.059998,-12.059998]|1689110351427
29|AK09918C|[0.17999268,-30.0,-11.7599945]|1689110351447
29|AK09918C|[0.11999512,-29.87999,-11.7599945]|1689110351468
29|AK09918C|[0.05999756,-30.059998,-12.179993]|1689110351488
29|AK09918C|[0.2999878,-30.119995,-12.599991]|1689110351508
29|AK09918C|[-0.11999512,-30.179993,-12.659988]|1689110351528
29|AK09918C|[-0.11999512,-30.23999,-12.479996]|1689110351548
29|AK09918C|[0.41999817,-29.939987,-12.059998]|1689110351568
29|AK09918C|[0.5399933,-30.0,-11.939987]|1689110351588
29|AK09918C|[0.59999084,-29.819992,-11.939987]|1689110351608
29|AK09918C|[0.35998535,-29.759995,-12.0]|1689110351628
29|AK09918C|[-0.05999756,-30.23999,-12.0]|1689110351648
29|AK09918C|[-0.41999817,-30.359985,-12.059998]|1689110351668
29|AK09918C|[-0.2999878,-30.659988,-12.359985]|1689110351688
29|AK09918C|[-0.17999268,-30.59999,-12.119995]|1689110351708
29|AK09918C|[0.17999268,-30.23999,-12.299988]|1689110351728
29|AK09918C|[0.41999817,-30.059998,-12.299988]|1689110351748
29|AK09918C|[0.2999878,-29.87999,-11.579987]|1689110351767
29|AK09918C|[0.2999878,-29.819992,-11.819992]|1689110351788
29|AK09918C|[0.05999756,-29.699997,-12.0]|1689110351808
29|AK09918C|[0.23999023,-29.279999,-11.7599945]|1689110351828
29|AK09918C|[0.23999023,-28.799988,-12.059998]|1689110351848
29|AK09918C|[0.2999878,-28.37999,-12.119995]|1689110351868
29|AK09918C|[0.2999878,-28.319992,-11.7599945]|1689110351888
29|AK09918C|[0.2999878,-28.619995,-11.87999]|1689110351908
29|AK09918C|[0.2999878,-29.219986,-11.939987]|1689110351928
29|AK09918C|[0.5399933,-29.64,-11.939987]|1689110351948
29|AK09918C|[0.2999878,-29.819992,-12.479996]|1689110351968
29|AK09918C|[0.17999268,-30.119995,-12.539993]|1689110351988
29|AK09918C|[0.05999756,-30.179993,-12.599991]|1689110352008
29|AK09918C|[-0.2999878,-29.819992,-12.479996]|1689110352028
29|AK09918C|[-0.11999512,-29.819992,-12.359985]|1689110352048
29|AK09918C|[-0.17999268,-29.399994,-12.0]|1689110352068
29|AK09918C|[0.0,-29.219986,-11.699997]|1689110352088
29|AK09918C|[0.17999268,-29.399994,-11.279999]|1689110352107
29|AK09918C|[-0.05999756,-29.519989,-11.159988]|1689110352127
29|AK09918C|[-0.05999756,-29.699997,-11.7599945]|1689110352148
29|AK09918C|[-0.35998535,-29.519989,-12.0]|1689110352168
29|AK09918C|[-0.35998535,-29.759995,-12.659988]|1689110352188
29|AK09918C|[-0.05999756,-29.699997,-12.839996]|1689110352208
29|AK09918C|[-0.23999023,-29.699997,-12.359985]|1689110352228
29|AK09918C|[0.05999756,-29.87999,-12.479996]|1689110352248
29|AK09918C|[-0.11999512,-29.699997,-12.23999]|1689110352268
29|AK09918C|[-0.11999512,-29.64,-12.179993]|1689110352288
29|AK09918C|[0.17999268,-29.519989,-12.539993]|1689110352308
29|AK09918C|[0.11999512,-29.519989,-12.119995]|1689110352328
29|AK09918C|[0.35998535,-29.519989,-12.359985]|1689110352348
29|AK09918C|[0.17999268,-29.399994,-12.299988]|1689110352368
29|AK09918C|[0.41999817,-29.219986,-11.87999]|1689110352388
29|AK09918C|[0.6599884,-29.279999,-11.7599945]|1689110352408
29|AK09918C|[0.59999084,-29.339996,-11.7599945]|1689110352427
29|AK09918C|[0.35998535,-29.64,-11.699997]|1689110352447
29|AK09918C|[0.0,-30.0,-12.119995]|1689110352468
29|AK09918C|[-0.11999512,-29.819992,-12.479996]|1689110352488
29|AK09918C|[-0.11999512,-29.87999,-12.359985]|1689110352508
29|AK09918C|[0.17999268,-29.519989,-12.299988]|1689110352528
29|AK09918C|[0.47999573,-29.399994,-11.87999]|1689110352548
29|AK09918C|[0.17999268,-29.459991,-11.939987]|1689110352568
29|AK09918C|[-0.05999756,-29.459991,-12.119995]|1689110352588
29|AK09918C|[0.2999878,-29.519989,-12.119995]|1689110352608
29|AK09918C|[0.17999268,-29.579987,-12.23999]|1689110352628
29|AK09918C|[0.5399933,-29.64,-11.939987]|1689110352648
29|AK09918C|[0.83999634,-29.819992,-11.639999]|1689110352668
29|AK09918C|[0.35998535,-29.819992,-11.639999]|1689110352688
29|AK09918C|[0.2999878,-29.759995,-11.819992]|1689110352708
29|AK09918C|[0.11999512,-30.059998,-11.699997]|1689110352728
29|AK09918C|[0.23999023,-29.579987,-11.639999]|1689110352748
29|AK09918C|[0.41999817,-29.519989,-11.339996]|1689110352768
29|AK09918C|[0.17999268,-29.459991,-11.099991]|1689110352787
29|AK09918C|[0.23999023,-28.919998,-11.519989]|1689110352808
29|AK09918C|[0.17999268,-29.579987,-11.459991]|1689110352828
29|AK09918C|[0.59999084,-30.0,-11.699997]|1689110352848
29|AK09918C|[0.17999268,-30.23999,-11.939987]|1689110352868
29|AK09918C|[0.17999268,-30.179993,-11.939987]|1689110352888
29|AK09918C|[0.17999268,-29.819992,-11.939987]|1689110352908
29|AK09918C|[-0.23999023,-29.039993,-11.519989]|1689110352928
29|AK09918C|[0.35998535,-29.219986,-11.279999]|1689110352948
29|AK09918C|[0.11999512,-29.339996,-10.859985]|1689110352968
29|AK09918C|[0.5399933,-29.399994,-10.979996]|1689110352988
29|AK09918C|[0.71998596,-29.519989,-11.339996]|1689110353008
29|AK09918C|[0.5399933,-29.399994,-11.399994]|1689110353028
29|AK09918C|[1.0799866,-29.819992,-12.0]|1689110353048
29|AK09918C|[0.6599884,-29.699997,-11.87999]|1689110353068
29|AK09918C|[0.35998535,-29.699997,-12.059998]|1689110353088
29|AK09918C|[0.6599884,-29.87999,-12.359985]|1689110353107
29|AK09918C|[0.5399933,-29.579987,-12.0]|1689110353128
29|AK09918C|[0.2999878,-29.699997,-12.419998]|1689110353148
29|AK09918C|[0.41999817,-30.059998,-12.299988]|1689110353168
29|AK09918C|[-0.05999756,-29.819992,-12.059998]|1689110353188
29|AK09918C|[-0.2999878,-29.759995,-12.059998]|1689110353208
29|AK09918C|[-0.59999084,-30.419998,-12.299988]|1689110353228
29|AK09918C|[-0.59999084,-30.059998,-12.0]|1689110353248
29|AK09918C|[0.0,-30.0,-11.939987]|1689110353268
29|AK09918C|[-0.05999756,-29.87999,-12.0]|1689110353288
29|AK09918C|[0.2999878,-29.159988,-11.639999]|1689110353308
29|AK09918C|[0.5399933,-29.399994,-11.519989]|1689110353328
29|AK09918C|[0.47999573,-29.339996,-11.459991]|1689110353348
29|AK09918C|[0.11999512,-29.339996,-11.159988]|1689110353368
29|AK09918C|[0.41999817,-29.519989,-11.099991]|1689110353388
29|AK09918C|[0.47999573,-29.759995,-11.279999]|1689110353408
29|AK09918C|[0.35998535,-29.519989,-11.519989]|1689110353427
29|AK09918C|[0.95999146,-29.339996,-11.699997]|1689110353447
29|AK09918C|[0.95999146,-29.039993,-12.059998]|1689110353468
29|AK09918C|[0.6599884,-29.09999,-12.359985]|1689110353488
